,Date,Open,High,Low,Volume,Dividends,Close
0,2020-11-23,110.98289502214371,111.07253025586118,108.42320727596707,4105500,108.83155822753906,0.0
1,2020-11-24,108.87139848006018,109.15027378292001,106.81966652434961,7316300,107.17822265625,0.0
2,2020-11-25,106.62047128614738,107.9650529717432,105.20616317655438,6224100,105.98303985595703,0.0
3,2020-11-27,106.24198631833353,107.31765465740071,105.4452008662251,1979000,107.18817901611328,0.0
4,2020-11-30,107.3375752727152,108.11445194724463,106.66030343253861,5702300,107.78577423095703,0.0
5,2020-12-01,108.80167816476859,109.16023429176006,107.63637455143727,4265200,108.0546875,0.0
6,2020-12-02,107.87541088298454,108.1941266002748,106.92922573443659,3444700,107.71605682373047,0.0
7,2020-12-03,107.71605628338494,108.2040880608039,106.65034989665585,3846300,107.09854125976562,0.0
8,2020-12-04,106.65034680173125,107.83556679821152,106.50094715210278,4686800,107.46705627441406,0.0
9,2020-12-07,107.28778078652462,107.86545539291906,106.21211240195194,6928000,106.74994659423828,0.0
10,2020-12-08,106.37147521972655,106.80970458213613,105.7838386036939,6643500,106.37147521972656,0.0
11,2020-12-09,106.67026353209832,107.25790012940881,105.09660140230356,5742400,105.89339447021484,0.0
12,2020-12-10,106.33163281481517,106.66030293077462,105.61452056402736,4828500,106.09259033203125,0.0
13,2020-12-11,105.6742770828995,106.91926151507027,104.89740801303005,4719000,106.59058380126953,0.0
14,2020-12-14,107.06866147814499,108.73195886065595,106.34158722417817,6250000,106.36151123046875,0.0
15,2020-12-15,106.51091168079402,107.97501460406409,105.97307748864694,5256600,107.01885986328125,0.0
16,2020-12-16,107.01886099804761,107.7758136763678,106.18223508946906,4458700,106.9093017578125,0.0
17,2020-12-17,107.39733601447698,108.50288276864451,107.17821754445723,3924300,108.34352111816406,0.0
18,2020-12-18,108.41323938287167,109.17019202119657,107.05869575588255,10669800,108.53276062011719,0.0
19,2020-12-21,107.12841597346305,107.74593097576998,104.94720845648526,4544000,107.65628814697266,0.0
20,2020-12-22,107.39733630361091,108.60248029318234,106.53082442404951,3426400,107.84552764892578,0.0
21,2020-12-23,108.4331679680156,109.23991545684521,106.99894345562338,3149500,107.01885986328125,0.0
22,2020-12-24,107.00890037453239,108.51283604166177,106.9491359568343,1451500,107.91524505615234,0.0
23,2020-12-28,108.52280177051641,108.66223941863011,106.82962598697456,2034200,107.35749816894531,0.0
24,2020-12-29,108.06464839499598,108.50288534544305,107.70609227168147,2834400,107.89533233642578,0.0
25,2020-12-30,108.25388732498722,108.68216226785792,107.40729184344661,2415800,108.00489044189453,0.0
26,2020-12-31,107.73597117984404,109.20007409034474,107.4172554686235,2982200,109.05067443847656,0.0
27,2021-01-04,109.09051601462748,109.80762827221031,106.82962760137578,6192000,108.67220306396484,0.0
28,2021-01-05,108.41324409280641,110.46498362802484,107.86545549555831,4322800,110.01678466796875,0.0
29,2021-01-06,108.512841637218,110.58449758600692,108.15428550766676,5539600,109.78771209716797,0.0
30,2021-01-07,109.8375048949079,111.17213215229874,108.81163894264958,5568800,110.8534164428711,0.0
31,2021-01-08,111.22192723119485,112.0984011332647,109.89726197377159,4242200,111.16217041015625,0.0
32,2021-01-11,110.7637741703666,111.53068883673843,109.78771062979764,3177400,110.39525604248047,0.0
33,2021-01-12,110.07654156692206,110.27574363779169,107.90528838652632,5777100,108.40328216552734,0.0
34,2021-01-13,108.65227752587192,112.44699523562521,107.81565163634012,6047100,111.70000457763672,0.0
35,2021-01-14,111.20999908447266,111.66000366210938,109.75,4391000,110.04000091552734,0.45
36,2021-01-15,110.0,111.62000274658203,109.38999938964844,4480100,111.30000305175781,0.0
37,2021-01-19,111.73999786376953,113.12999725341797,110.5199966430664,6820300,112.56999969482422,0.0
38,2021-01-20,112.6500015258789,113.52999877929688,112.0,2952100,112.88999938964844,0.0
39,2021-01-21,112.25,113.54000091552734,110.26000213623047,5028100,112.94999694824219,0.0
40,2021-01-22,113.0,113.51000213623047,111.73999786376953,4163900,112.83999633789062,0.0
41,2021-01-25,113.05999755859375,115.4000015258789,113.01000213623047,4689300,114.72000122070312,0.0
42,2021-01-26,114.25,115.12000274658203,113.79000091552734,4142400,114.7300033569336,0.0
43,2021-01-27,115.19999694824219,117.77999877929688,113.5,9104900,114.29000091552734,0.0
44,2021-01-28,117.91000366210938,124.06999969482422,117.1500015258789,11296300,120.38999938964844,0.0
45,2021-01-29,120.25,124.72000122070312,119.70999908447266,10995100,123.58999633789062,0.0
46,2021-02-01,123.23999786376953,124.81999969482422,122.5,8337100,122.54000091552734,0.0
47,2021-02-02,123.4000015258789,123.72000122070312,120.2300033569336,7277000,120.23999786376953,0.0
48,2021-02-03,119.73999786376953,120.88999938964844,118.9000015258789,4991900,120.22000122070312,0.0
49,2021-02-04,119.83000183105469,120.87000274658203,118.79000091552734,4377900,119.73999786376953,0.0
50,2021-02-05,120.43000030517578,124.31999969482422,120.04000091552734,5803400,124.02999877929688,0.0
51,2021-02-08,125.0,125.80000305175781,123.7699966430664,3456000,124.5,0.0
52,2021-02-09,124.83000183105469,125.27999877929688,123.61000061035156,3424500,125.1500015258789,0.0
53,2021-02-10,125.79000091552734,126.19999694824219,124.76000213623047,4195400,125.29000091552734,0.0
54,2021-02-11,125.69000244140625,126.87000274658203,125.19999694824219,3697000,126.83999633789062,0.0
55,2021-02-12,126.41000366210938,128.5399932861328,126.25,3658700,128.22999572753906,0.0
56,2021-02-16,128.49000549316406,128.5,126.8499984741211,5174000,128.02000427246094,0.0
57,2021-02-17,127.37000274658203,128.0,126.38999938964844,3161800,127.23999786376953,0.0
58,2021-02-18,125.47000122070312,126.66000366210938,124.06999969482422,5427900,125.41000366210938,0.0
59,2021-02-19,125.25,125.38999938964844,122.66999816894531,6204200,123.04000091552734,0.0
